"","S112","S118","S121","S126","S127","S131","S137","S141","S143","S144","S146","S153","S155","S158","S186","S187","S193","S194","S195","S198","S200","S205","S224","S225","S227","S229","S231","S235","S239","S243","S244","S248","S249","S258","S263","S264","S268","S269","S278","S286","S288","S290","S297","S299","S304","S305","S312","S317","S327","S330","S332","S334","S342","S344","S347","S349","S350","S353","S354","S356","S365","S367","S370","S372","S378","S380","S381","S384","S389","S393","S395","S397","S398","S420","S421","S422","S424","S432","S434","S436","S439","S441","S446","S451","S456","S457","S458","S462","S463","S468","S470","S472","S475","S476","S478","S479","S483","S484","S485","S487","S488","S495","S497","S51","S517","S524","S526","S529","S53","S530","S536","S54","S543","S547","S550","S551","S552","S558","S561","S563","S577","S58","S584","S587","S589","S59","S591","S598","S60","S600","S602","S604","S614","S617","S618","S628","S638","S640","S643","S646","S655","S77","S80","S88","S92","FeatureID"
"Hungatella hathewayi",0,0,0,0,0,0,0,0,15507,2254,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,63248,304382,0,0,0,0,0,0,0,0,550,8403,0,0,0,12268,4455,23145,0,1708,12891,510,0,705,0,0,0,0,10515,9830,0,0,9416,0,0,0,0,0,890,0,0,0,253,6455,0,0,0,1705,0,0,21182,301,0,25794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2114,968,2928,0,0,0,0,56364,2915,0,0,701,0,0,0,0,1320,0,0,23925,0,0,113357,0,0,0,0,0,0,0,1396,892,8927,0,0,0,0,0,13627,0,3822,0,0,0,6863,0,"Hungatella hathewayi"
"Flavonifractor sp. An10",0,0,0,0,0,0,0,0,1149,0,0,0,0,0,0,0,0,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,4031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12850,0,0,0,0,16635,2896,0,"Flavonifractor sp. An10"
"Veillonella dispar",0,0,0,0,0,0,0,0,1033,0,18494,0,8590,0,0,0,0,0,0,0,0,1379,0,0,0,0,0,0,1764,0,0,0,10986,0,0,0,0,5853,4096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22692,0,9428,2555,0,22041,0,0,0,0,0,0,0,23296,0,0,0,0,0,0,0,0,0,0,0,1169,0,6237,0,4104,0,0,0,0,1653,0,0,0,0,0,14301,763,69213,2607,9458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,40173,1620,0,0,0,0,0,0,11804,0,0,0,3834,0,0,0,0,0,0,0,0,"Veillonella dispar"
"Parabacteroides sp. CAG:409",0,0,0,0,0,0,0,0,0,713325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23182,0,0,0,0,0,0,0,0,0,32519,0,0,0,0,0,0,19650,0,0,0,0,0,0,0,14819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20772,0,"Parabacteroides sp. CAG:409"
"Marvinbryantia formatexigens",0,0,0,0,0,0,0,0,0,157109,0,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305,0,777,0,0,0,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1281,0,0,0,0,0,0,0,0,0,0,0,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Marvinbryantia formatexigens"
"Eubacterium sp. An11",0,0,0,0,0,0,0,0,0,72389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Eubacterium sp. An11"
"Eubacteriaceae bacterium CHKCI005",0,0,0,0,0,0,0,0,0,65317,1592,0,0,602,3494,0,0,0,214,957,10570,0,0,0,0,2878,0,0,0,11955,7787,153,0,0,1649,2767,155,0,3549,4375,5754,0,0,0,0,0,10315,33154,0,0,6210,0,0,0,0,0,2375,0,1318,0,0,0,0,0,0,4308,0,0,1711,0,0,2774,0,0,0,0,7740,0,0,0,0,0,186,14007,5235,0,3759,0,2149,0,0,386,0,0,0,0,1643,0,0,1267,2096,23743,2696,8885,0,8135,2920,0,176,1051,26213,0,0,0,0,9846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2656,0,0,0,0,113820,0,0,0,0,0,0,0,"Eubacteriaceae bacterium CHKCI005"
"Anaerofustis stercorihominis",0,0,0,0,0,0,0,0,0,24601,0,0,0,0,0,0,0,0,14053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8930,0,0,0,0,0,0,0,0,129584,0,0,0,55319,0,0,0,0,2326,0,0,21875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395,4093,121,2893,0,0,0,0,0,4063,0,0,0,0,0,0,0,0,0,0,0,2444,0,0,0,0,0,0,0,0,0,0,33892,5551,0,0,3468,14562,0,0,0,0,0,3704,7219,6140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8095,0,0,0,0,0,0,0,"Anaerofustis stercorihominis"
"Enterocloster lavalensis",0,0,0,0,0,0,0,0,0,18836,0,0,0,9789,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,4651,0,0,0,0,0,0,0,0,0,0,0,2449,0,0,0,0,3389,91723,0,16367,0,0,0,0,0,0,0,0,17823,1864,0,0,0,0,0,0,0,546,0,0,1472,0,100,3278,6713,2139,0,0,12797,0,11217,0,0,10799,11733,0,0,0,0,0,0,0,0,0,0,0,3723,12266,0,0,0,5120,0,70,0,13305,5217,4944,0,0,0,0,0,0,0,13627,0,704,0,0,0,0,0,0,0,0,26639,0,0,194,0,9144,0,0,0,0,0,43238,0,5240,0,0,0,0,0,"Enterocloster lavalensis"
"Enterocloster clostridioformis",0,0,0,0,0,0,0,0,0,15681,0,0,0,8501,0,0,0,0,0,0,0,40677,0,0,0,0,0,0,0,0,17194,0,1471,3409,0,0,0,0,0,963,0,83709,329,0,0,0,0,0,0,2994,0,0,0,1817,0,0,0,0,18479,7833,0,4420,0,1320,0,0,0,0,0,0,0,0,0,4260,639,0,0,1970,0,0,132465,0,0,0,0,0,0,0,0,0,0,0,2021,0,0,0,0,0,0,0,572,0,0,0,0,0,0,0,0,0,1725,0,0,0,284310,0,0,0,6825,5869,0,0,0,0,0,0,0,0,0,1390,0,1377785,0,0,0,0,0,291966,0,0,0,0,0,0,0,"Enterocloster clostridioformis"
"Actinomyces graevenitzii",0,0,0,0,0,0,0,0,0,10475,0,0,0,0,0,0,0,0,1672,0,0,169,0,0,0,0,1477,0,0,0,0,0,0,0,0,0,0,0,1538,0,4247,0,0,0,0,0,0,26481,0,0,3197,0,0,0,0,0,0,0,0,0,0,0,1196,0,0,0,0,0,0,0,0,0,0,0,0,0,5108,0,194,0,1989,0,1090,0,0,2905,0,0,0,0,0,0,0,0,0,882,0,0,0,0,0,14288,0,0,0,0,0,3440,0,0,0,0,0,0,0,0,0,0,1155,0,0,0,0,0,0,0,5389,0,0,0,0,0,0,0,0,0,0,31933,5019,0,0,0,0,0,0,"Actinomyces graevenitzii"
"Anaerobiospirillum thomasii",0,0,0,0,0,0,0,0,0,8798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Anaerobiospirillum thomasii"
"Mogibacterium diversum",0,0,0,0,0,0,0,0,0,7987,0,0,0,0,0,0,0,0,521,0,907,0,0,366,0,0,2006,0,4662,0,0,0,0,349,5323,0,0,0,757,0,0,0,0,0,0,0,8732,48049,0,0,6940,3491,0,3623,3339,0,877,0,3777,0,1098,0,0,0,0,937,2898,765,0,0,0,257,162,0,0,0,0,0,5659,0,0,1801,0,0,0,0,0,0,0,0,0,524,0,0,0,1543,0,0,0,0,0,0,0,0,0,4350,0,818,0,1621,106,1627,0,0,0,0,0,789,860,0,0,0,0,0,0,0,0,0,0,0,0,0,409,0,0,0,0,0,1921,0,0,0,0,0,0,"Mogibacterium diversum"
"Schaalia odontolytica",0,0,0,0,0,0,0,0,0,7622,0,2968,817,0,3787,14149,0,1502,1135,836,0,1353,0,0,0,0,767,0,0,0,0,0,110,93,2893,0,0,4717,2955,0,4553,0,0,0,0,0,130087,61490,400,0,51674,4168,0,1631,0,0,2034,138,0,0,4870,0,0,0,0,0,509,3083,0,2212,0,1216,0,0,210,0,13967,4374,11896,0,0,3329,0,0,6043,20089,8143,1309,0,7964,0,3232,0,5056,2971,5255,1306,7563,0,2787,0,4884,7296,136,1681,9965,20209,6002,0,3096,5202,0,0,7238,0,0,525,972,3530,0,0,0,15239,783,973,0,0,0,0,240,0,11079,78,0,0,0,0,0,0,0,0,0,0,4297,478,"Schaalia odontolytica"
"Lactococcus piscium",0,0,0,0,0,0,0,0,0,7176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lactococcus piscium"
"Anaerostipes caccae",0,0,0,0,0,0,0,0,0,4850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,727,0,0,0,0,0,0,0,9444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018,0,0,0,0,0,0,0,"Anaerostipes caccae"
"Actinomyces sp. HMSC035G02",0,0,0,0,0,0,0,0,0,4688,0,0,0,0,816,2959,0,0,0,0,0,267,0,0,0,0,160,0,0,0,0,0,0,0,2557,0,0,1408,1903,0,10726,740,0,0,0,0,23664,15490,0,0,28120,407,0,192,0,0,0,0,0,0,0,0,0,0,0,0,326,0,0,0,0,1867,0,0,0,0,2804,2550,4855,0,0,0,0,0,2493,4711,0,0,0,230,0,2692,0,0,3263,1977,0,1811,0,0,0,4106,0,0,157,1776,796,1656,0,1277,561,0,0,526,0,0,0,0,839,0,0,0,5775,0,0,0,0,0,0,0,0,19085,0,0,0,0,0,0,0,0,0,0,0,628,0,"Actinomyces sp. HMSC035G02"
"Erysipelatoclostridium ramosum",0,0,0,0,0,0,0,0,0,4214,60232,0,0,690,0,0,0,0,0,0,0,28355,6302,0,0,7991,0,0,0,0,1053,0,2515,0,0,0,0,9871,0,0,0,134518,0,0,0,14840,0,2032274,0,0,6947,0,0,23932,0,0,0,0,274596,28575,992,0,0,5101,19239,0,0,0,64745,0,0,0,0,0,1167,0,0,0,526832,0,43384,0,49101,0,0,0,0,0,0,0,0,93014,0,0,0,0,0,5704,0,0,0,1804,0,34857,0,0,0,0,0,0,0,0,22023,0,20868,0,0,211,264379,0,0,0,0,0,0,0,0,0,0,2023,0,66776,184,0,0,0,0,43425,0,10243,0,0,17797,0,0,"Erysipelatoclostridium ramosum"
"Actinomyces sp. S6-Spd3",0,0,0,0,0,0,0,0,0,2907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11928,35078,0,0,0,0,0,0,0,0,0,0,5232,0,0,0,0,0,0,0,0,1147,0,0,0,0,0,0,0,0,0,0,3469,0,0,1912,0,0,2210,0,0,0,1316,0,0,133,0,1603,0,0,0,0,0,0,0,0,0,0,0,244,0,1450,0,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Actinomyces sp. S6-Spd3"
"[Eubacterium] sulci",0,0,0,0,0,0,0,0,0,1952,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3039,0,0,0,0,0,0,0,799,6838,0,0,0,0,0,0,0,0,0,2031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2278,0,0,0,0,0,1764,0,0,0,0,0,0,0,0,8847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[Eubacterium] sulci"
"Actinomyces sp. oral taxon 170",0,0,0,0,0,0,0,0,0,1578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Actinomyces sp. oral taxon 170"
"Streptococcus lutetiensis",0,0,0,0,0,0,0,0,0,0,3406095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Streptococcus lutetiensis"
"Ruminococcus sp. CAG:330",0,0,0,0,0,0,0,0,0,0,435580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29539,0,0,69404,0,0,0,0,0,0,0,0,0,0,0,1361720,0,0,22501,0,0,0,0,0,0,0,0,0,0,652309,0,0,0,0,0,0,0,0,0,77377,0,0,0,0,0,0,0,0,0,0,29945,0,0,0,0,0,0,0,0,"Ruminococcus sp. CAG:330"
"Bacteroides sp. CAG:462",0,0,0,0,0,0,0,0,0,0,153008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteroides sp. CAG:462"
"Clostridium paraputrificum",0,0,0,0,0,0,0,0,0,0,40049,0,0,0,0,0,0,0,0,3214,0,0,1056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518,0,10952,0,0,0,0,0,0,0,0,0,0,0,0,0,916,0,0,0,14858,0,59965,0,0,0,0,3423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Clostridium paraputrificum"
"Desulfovibrio fairfieldensis",0,0,0,0,0,0,0,0,0,0,9886,0,0,0,0,0,0,0,0,0,0,0,0,4020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4618,0,0,0,0,0,10854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Desulfovibrio fairfieldensis"
"Ruminococcus obeum CAG:39",0,0,0,0,0,0,0,0,0,0,9238,24509,0,0,1091,0,32491,0,0,0,0,0,0,0,2953,0,23290,0,0,0,0,0,0,0,0,0,89104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5173,0,0,0,0,0,0,0,0,0,0,0,0,0,2476,0,0,0,0,0,0,0,0,0,0,24661,0,4364,0,0,0,566259,741834,0,0,88226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ruminococcus obeum CAG:39"
"Veillonella infantium",0,0,0,0,0,0,0,0,0,0,7643,0,1231,0,0,0,0,0,0,1728,0,0,0,0,0,0,0,0,0,0,0,0,1919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3903,0,0,0,0,1529,0,490,0,0,7618,0,0,0,0,0,0,0,3785,0,0,0,0,0,0,0,0,0,1028,0,0,0,1764,0,0,0,0,0,0,0,0,0,0,0,0,414,0,20935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1431,0,0,0,0,0,0,0,2526,0,0,0,0,0,0,0,0,0,0,0,0,"Veillonella infantium"
"Pediococcus pentosaceus",0,0,0,0,0,0,0,0,0,0,3804,0,0,14477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,0,0,0,79547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2593,0,0,0,0,0,0,0,0,0,"Pediococcus pentosaceus"
"Veillonella atypica",0,0,0,0,0,0,0,0,0,0,2541,0,2778,0,0,2683,0,0,0,5900,0,3846,9984,0,0,0,0,0,0,0,0,0,13952,0,0,0,0,0,3704,0,0,0,0,0,0,0,414,0,0,0,0,0,0,0,0,0,0,56488,0,0,0,0,0,0,2284,0,0,160,0,0,0,0,0,0,0,17888,0,734,0,0,0,0,0,0,0,0,0,0,0,24161,0,0,0,2326,0,0,0,0,0,0,0,0,709,0,54304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38110,0,543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Veillonella atypica"
"Leuconostoc pseudomesenteroides",0,0,0,0,0,0,0,0,0,0,0,2338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533,29721,0,0,0,0,0,0,1436,0,0,0,5266,0,0,0,0,0,0,0,813,0,0,11376,0,0,0,0,0,14908,0,0,21727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53811,0,0,0,0,2997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Leuconostoc pseudomesenteroides"
"Aeriscardovia aeriphila",0,0,0,0,0,0,0,0,0,0,0,1241,821,0,5169,1157,2780,0,1606,739,6565,0,0,0,0,0,0,2237,0,859,0,0,1658,0,0,0,0,0,0,0,0,0,771,0,3370,0,0,0,754,0,2021,2224,0,0,0,3096,0,0,1657,742,0,0,0,0,0,0,871,942,0,0,0,0,0,0,0,3134,0,0,0,0,620,4205,0,1779,0,0,13170,0,2507,1497,0,850,0,0,0,0,0,0,0,0,0,2332,769,0,2390,3420,0,2729,2733,6418,1037,0,0,7732,0,490,1177,380,0,3180,1019,830,0,0,1676,0,0,5307,0,3265,1620,1356,0,0,0,0,0,0,790,0,0,0,0,0,0,"Aeriscardovia aeriphila"
"[Clostridium] symbiosum",0,0,0,0,0,0,0,0,0,0,0,1124,0,11587,0,0,0,0,1975,0,0,15418,0,0,0,0,0,0,0,0,11153,0,0,0,15005,0,0,2961,0,0,0,20473,0,0,0,0,17049,190450,0,0,80623,0,0,5263,13044,0,0,0,32889,93939,0,3256,88,8205,0,0,0,0,5665,0,3296,0,0,6280,14952,0,9643,6851,0,0,215259,3024,0,64858,0,0,0,0,0,0,0,0,0,0,0,0,5148,3495,0,499,17191,0,0,0,0,1491,0,13597,0,0,4326,0,0,0,0,0,0,0,215990,0,0,17899,0,0,0,0,0,0,0,4292,3507,1387,0,0,0,0,0,43929,0,16140,0,0,0,0,0,"[Clostridium] symbiosum"
"Butyricimonas synergistica",0,0,0,0,0,0,0,0,0,0,0,778,0,1529,2657,0,1216,0,0,10831,99,0,0,3421,0,0,713,0,0,0,0,0,0,0,0,0,0,0,0,534,0,0,0,0,26874,0,0,0,0,0,0,0,0,2277,0,0,1732,0,0,0,0,0,0,0,5667,0,0,0,0,0,0,0,0,0,0,9150,0,0,0,0,0,0,0,323630,19703,0,0,4869,0,0,0,0,0,113,0,0,0,0,0,0,23477,0,0,0,0,0,0,0,11069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8303,0,0,0,0,0,0,9430,0,0,5933,0,0,0,0,2947,0,0,0,6729,19120,0,"Butyricimonas synergistica"
"Parabacteroides johnsonii",0,0,0,0,0,0,0,0,0,0,0,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11319,0,0,171319,0,0,14999,0,0,0,0,59965,0,5788,0,0,0,0,0,0,0,0,0,0,0,3164,13930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2193,0,0,0,0,0,0,0,0,0,0,23968,0,0,0,0,0,0,0,0,0,88370,0,0,0,14118,0,0,0,0,0,88369,0,0,120768,0,0,0,0,0,0,306593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Parabacteroides johnsonii"
"Actinomyces sp. HPA0247",0,0,0,0,0,0,0,0,0,0,0,0,11052,0,258,0,0,0,0,3299,0,0,3637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32751,0,0,0,4042,1155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44465,0,0,0,0,0,0,0,9205,1160,0,1719,0,0,0,0,976,5229,249,0,0,0,64079,0,0,0,30224,21543,0,114,0,0,869,0,0,0,658,0,1572,0,0,0,229,0,0,2847,3342,0,0,0,0,0,0,0,0,0,1422,15655,0,0,2972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Actinomyces sp. HPA0247"
"Clostridium celatum",0,0,0,0,0,0,0,0,0,0,0,0,6130,0,0,0,0,0,0,26475,0,0,0,0,0,0,0,0,19523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13192,0,0,0,0,0,0,0,0,"Clostridium celatum"
"Desulfovibrionaceae bacterium",0,0,0,0,0,0,0,0,0,0,0,0,5332,0,0,0,0,50615,0,0,2168,0,0,0,21478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3880,0,0,0,0,0,0,0,7997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59138,0,0,0,0,0,0,0,0,9540,0,0,0,0,0,0,30695,34816,0,0,0,0,0,0,0,0,0,0,0,6150,0,0,0,7839,0,0,0,0,63038,0,0,0,0,0,0,0,0,0,0,0,101772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8225,0,0,0,2424,0,0,0,0,"Desulfovibrionaceae bacterium"
"Latilactobacillus sakei",0,0,0,0,0,0,0,0,0,0,0,0,3790,0,0,0,0,0,0,10148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203918,0,0,0,0,0,0,0,0,0,0,0,366004,158626,0,0,0,0,0,1539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1016,0,0,0,0,0,0,8016,0,0,0,27959,0,0,0,0,0,0,0,31474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,0,0,0,0,7208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Latilactobacillus sakei"
"Massilimicrobiota timonensis",0,0,0,0,0,0,0,0,0,0,0,0,1055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5349,0,0,0,0,0,0,1387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3134,0,2133,0,4593,0,0,0,0,0,0,0,4003,0,0,0,0,0,0,0,0,0,0,10865,54015,0,3359,0,0,0,0,0,0,0,0,0,0,27765,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12274,0,0,0,0,0,0,0,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,3013,0,0,0,0,0,0,"Massilimicrobiota timonensis"
