"","SZAXPI003409-8","SZAXPI003410-3","SZAXPI003411-6","SZAXPI003412-1","SZAXPI003413-4","SZAXPI003414-3","SZAXPI003415-12","SZAXPI003416-4","SZAXPI003417-4","SZAXPI003418-8","SZAXPI003419-6","SZAXPI003420-4","SZAXPI003421-5","SZAXPI003422-11","SZAXPI003423-8","SZAXPI003424-12","SZAXPI003425-1","SZAXPI003426-11","SZAXPI003427-1","SZAXPI003428-6","SZAXPI003429-3","SZAXPI003430-5","SZAXPI003431-1","SZAXPI003432-12","SZAXPI003433-7","SZAXPI003434-7","SZAXPI003435-11","SZAXPI003436-7","SZAXPI003437-3","SZAXPI015209-133","SZAXPI015210-17","SZAXPI015211-166","SZAXPI015212-113","SZAXPI015213-15","SZAXPI015214-19","SZAXPI015215-20","SZAXPI015216-169","SZAXPI015217-140","SZAXPI015218-16","SZAXPI015219-129","SZAXPI015220-136","SZAXPI015221-142","SZAXPI015222-123","SZAXPI015223-158","SZAXPI015224-13","SZAXPI015225-18","SZAXPI015226-14","SZAXPI015227-13","SZAXPI015228-14","SZAXPI015229-15","SZAXPI015230-16","SZAXPI015231-17","SZAXPI015232-18","SZAXPI015233-19","SZAXPI015234-20","SZAXPI015235-21","SZAXPI015237-23","SZAXPI015238-24","SZAXPI015239-25","SZAXPI015240-26","SZAXPI015241-27","SZAXPI015242-30","SZAXPI015243-31","SZAXPI015244-32","SZAXPI015245-33","SZAXPI015246-34","SZAXPI015247-35","SZAXPI015248-36","SZAXPI015249-37","SZAXPI015250-39","SZAXPI015251-41","SZAXPI015252-43","SZAXPI015253-44","SZAXPI015254-45","SZAXPI015255-46","SZAXPI015256-47","SZAXPI015257-56","SZAXPI015258-57","SZAXPI015259-62","SZAXPI015260-74","SZAXPI015261-75","SZAXPI015262-79","SZAXPI015263-84","SZAXPI015264-87","SZAXPI015265-88","SZAXPI015266-89","SZAXPI015267-102","SZAXPI015268-109","SZAXPI015269-94","SZAXPI015270-90","SZAXPI015271-93","SZAXPI015272-108","SZAXPI015273-95","SZAXPI015274-111","SZAXPI017451-16","SZAXPI017452-17","SZAXPI017453-19","SZAXPI017454-20","SZAXPI017455-21","SZAXPI017456-23","SZAXPI017457-24","SZAXPI017458-25","SZAXPI017459-26","SZAXPI017460-27","SZAXPI017461-32","SZAXPI017462-33","SZAXPI017463-36","SZAXPI017464-37","SZAXPI017465-43","SZAXPI017466-84","SZAXPI017467-87","SZAXPI017468-88","SZAXPI017580-90","SZAXPI017581-93","SZAXPI017582-94","SZAXPI017583-102","SZAXPI017584-108","SZAXPI017585-109","SZAXPI017586-111","SZAXPI017587-113","SZAXPI017588-123","SZAXPI017589-133","SZAXPI017590-136","SZAXPI017591-140","SZAXPI017592-142","SZAXPI017593-158","SZAXPI017594-166","SZAXPI017595-169","FeatureID"
"Lautropia mirabilis",0,0,0,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lautropia mirabilis"
"Acidaminococcus fermentans",0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,0,0,2180,0,0,0,0,0,0,0,0,0,0,0,0,0,4614,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Acidaminococcus fermentans"
"Desulfovibrio sp. An276",0,0,0,0,0,0,0,0,113047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Desulfovibrio sp. An276"
"Turicimonas muris",0,0,0,0,0,0,0,0,65699,45434,280340,0,0,0,0,0,0,0,134404,0,103553,0,0,0,0,0,0,0,0,0,0,0,18429,0,0,0,2276,0,0,0,0,0,1387,0,0,0,0,0,0,0,0,0,0,5701,0,0,29661,0,18230,0,0,0,0,0,0,0,26729,0,10692,0,5141,0,1164,131192,11143,0,0,0,51683,0,0,48862,0,83415,128525,0,0,39507,0,0,4162,0,0,0,0,0,0,0,0,0,24276,23002,0,0,91371,7450,0,0,0,14680,632,0,0,0,26321,0,12322,0,0,0,3025,0,0,0,0,0,0,0,"Turicimonas muris"
"Proteobacteria bacterium CAG:139",0,0,0,0,0,0,0,0,58951,308978,1474372,0,0,367,0,0,0,0,0,0,537522,0,0,4682,0,0,0,668,0,0,0,0,246468,0,0,0,0,0,0,0,0,0,1994,0,187,0,6752,0,0,0,0,0,0,785082,0,0,1014617,0,12417,0,0,0,0,0,0,0,473718,0,137471,0,62018,0,3634,1605105,97994,0,0,0,396353,0,0,44883,0,1368366,1521948,0,0,20944,0,0,581384,0,0,0,0,0,0,0,0,0,19378,12883,0,0,98863,35346,0,0,0,3633,3585,0,2395,0,841194,0,19014,0,0,0,7262,0,0,0,0,0,0,0,"Proteobacteria bacterium CAG:139"
"Tyzzerella nexilis",0,0,0,0,0,0,0,0,38862,110632,0,0,1412,0,0,4350,0,0,41854,0,0,0,23599,0,0,45007,0,0,65500,0,0,0,0,0,0,0,0,0,0,14554,0,0,0,0,0,0,0,0,0,0,0,0,63155,0,0,0,0,0,0,0,443323,0,0,0,0,3417,0,0,0,0,0,0,0,482577,0,448919,30621,0,16290,0,0,0,0,0,0,0,944,0,0,0,0,415,0,0,26048,84296,0,563844,55545,0,0,7255,793,0,0,0,0,15225,0,0,0,0,4307,0,0,394,0,5223,0,95472,901,0,0,0,71347,0,0,0,"Tyzzerella nexilis"
"Bacteroides clarus",0,0,0,0,0,0,0,0,9888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26922,0,0,2399,1925,0,0,0,0,0,0,14368,0,0,0,0,0,0,347,0,0,0,0,10887,0,0,0,0,0,0,4756,0,0,0,222754,0,328789,0,0,0,0,0,0,0,0,0,186777,0,170250,0,168707,0,0,0,0,105815,0,0,24557,0,0,0,0,0,0,893949,0,150377,0,0,0,0,0,0,0,0,0,0,0,0,0,906717,0,0,0,0,2219,2557,0,0,0,0,44523,0,0,0,8947,0,0,1946,0,0,0,0,"Bacteroides clarus"
"Fusobacterium varium",0,0,0,0,0,0,0,0,8327,0,0,0,0,67251,0,0,0,0,22989,0,0,0,0,0,0,34291,23400,0,1035,0,0,24780,0,0,10076991,0,0,10705,25227,0,0,16761,0,0,0,0,0,0,11670,0,0,0,0,0,0,0,1604465,0,0,0,0,0,0,0,0,0,0,0,0,8795,0,0,0,111983,0,0,0,0,0,2917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333736,0,0,0,0,0,0,466773,0,0,0,0,0,0,0,0,0,558266,0,297,402836,0,36370,0,0,0,0,0,2641,0,1583,"Fusobacterium varium"
"Phascolarctobacterium sp. CAG:266",0,0,0,0,0,0,0,0,3796,0,0,0,0,0,0,0,0,0,148767,0,0,0,0,0,0,0,0,1621333,0,0,0,0,20323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80895,0,0,99990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15990,0,0,0,0,0,0,0,2852,0,0,0,0,0,294283,0,0,0,671936,0,258192,0,0,0,0,0,0,0,0,303651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537655,584372,0,9795,0,0,0,0,0,0,1231,0,0,"Phascolarctobacterium sp. CAG:266"
"Bacteroides faecichinchillae",0,0,0,0,0,0,0,0,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteroides faecichinchillae"
"Clostridium sp. chh4-2",0,0,0,0,0,0,0,0,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,627,0,0,0,0,0,8897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7113,0,0,758,0,0,0,0,0,0,0,1366,0,0,0,0,0,0,0,0,35455,0,0,0,0,0,0,0,0,0,0,"Clostridium sp. chh4-2"
"Lactobacillus paragasseri",0,0,0,0,0,0,0,0,0,192673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494,0,0,0,0,0,0,0,0,3871,0,0,0,0,0,0,0,0,0,1020,0,0,0,0,0,0,11166,0,0,0,0,0,0,0,0,0,0,0,0,52924,0,0,0,0,0,0,0,46831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3700,62338,10338127,3534,572,1410,23016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36917,0,0,0,0,0,0,0,0,0,"Lactobacillus paragasseri"
"Ligilactobacillus salivarius",0,0,0,0,0,0,0,0,0,91704,0,0,0,0,0,0,0,0,0,0,35539,0,0,0,0,0,0,0,0,0,0,20241,0,0,25134,0,0,0,0,0,4822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42430,0,16220,0,1479,0,0,0,0,0,0,0,39578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,798857,0,196690,40460,2714,212080,0,0,0,0,0,10115,8449,0,0,0,0,0,9794,0,7520,89797,0,0,0,0,0,0,397395,0,0,"Ligilactobacillus salivarius"
"Anaerotignum lactatifermentans",0,0,0,0,0,0,0,0,0,87039,0,0,0,923281,0,0,0,84222,0,182385,0,0,0,0,0,0,4466,0,0,0,0,0,0,0,0,0,33176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221358,0,0,0,0,0,0,0,0,0,0,0,0,2302,0,0,0,507159,0,0,0,0,0,191717,0,0,0,0,3380,0,0,0,0,0,0,0,0,0,0,66332,0,0,7723,0,0,0,0,0,0,0,0,17980,0,0,0,0,0,0,176715,0,0,0,0,443,0,1068820,0,0,127462,0,0,0,"Anaerotignum lactatifermentans"
"Veillonella sp. T11011-6",0,0,0,0,0,0,0,0,0,48760,0,0,0,0,4012,0,0,0,0,0,0,0,0,0,0,0,0,0,2713,0,40199,0,52114,113714,0,0,0,0,0,2365,747,0,0,0,0,0,16222,0,25981,992,0,2100,3937,0,0,79982,0,0,0,0,0,0,1485,0,0,0,1282,0,0,0,2553,4239,0,0,0,0,0,397838,50088,4351,0,0,0,0,0,342,11612,0,0,0,0,0,48233,0,34990,5777,0,0,27703,3243,0,38826,0,0,22336,0,0,0,0,0,5961,0,0,0,0,0,0,3050,0,0,9837,0,0,0,0,0,0,0,"Veillonella sp. T11011-6"
"Veillonella dispar",0,0,0,0,0,0,0,0,0,39047,0,1343,0,0,43257,0,3316,0,0,0,0,2515,0,0,1589,0,0,0,1460,0,146214,0,314687,169757,0,0,0,0,0,3305,0,0,0,0,11813,0,55735,1453,106010,0,0,2482,6066,0,0,109322,0,0,0,0,0,0,0,0,3747,8341,9313,0,1290,0,2197,6385,0,0,0,0,0,205042,128177,19542,0,0,0,0,4484,11756,1451,0,0,0,0,0,102655,0,63692,6715,0,16616,15922,2212,0,59376,0,0,2042,0,0,0,0,0,30817,0,0,0,0,0,0,9229,0,0,2856,1412,0,0,0,0,0,0,"Veillonella dispar"
"Allisonella histaminiformans",0,0,0,0,0,0,0,0,0,4285,0,9612,0,0,0,0,0,0,0,0,6656,0,26638,0,0,0,0,20185,22623,0,23197,0,0,238065,0,51631,0,0,8072,0,6926,0,0,35915,107004,0,0,0,0,0,0,7426,0,8029,0,0,0,5554,0,0,0,64556,0,12568,0,4890,1204,4641,3147,0,0,0,0,0,0,0,0,0,0,0,0,0,6249,0,0,2439,0,0,0,0,0,0,339017,65704,0,0,0,0,0,0,0,4586,0,0,10648,0,0,0,0,0,0,0,6446,0,0,0,0,0,0,0,3488,0,0,0,2123,2336,0,0,"Allisonella histaminiformans"
"Fusobacterium ulcerans",0,0,0,0,0,0,0,0,0,4094,0,0,0,0,0,0,0,0,4584,914601,0,0,0,0,0,0,0,0,316,0,0,0,0,0,0,0,0,0,0,13463,0,0,0,0,0,0,0,0,0,0,0,0,1278749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9367,0,0,0,0,6264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7808,0,0,0,27911,0,0,0,549,0,0,"Fusobacterium ulcerans"
"Streptococcus milleri",0,0,0,0,0,0,0,0,0,2926,0,0,0,2604,0,0,0,0,0,0,0,0,3697,0,0,0,22620,0,15869,0,0,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2436,0,0,0,4024,0,0,0,0,0,"Streptococcus milleri"
"Aeromonas veronii",0,0,0,0,0,0,0,0,0,2705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Aeromonas veronii"
"Streptococcus sp. F0442",0,0,0,0,0,0,0,0,0,1488,0,2891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443,4326,0,22584,0,0,0,0,0,0,0,4299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1078,0,0,0,0,2866,2462,5237,0,0,0,0,0,0,0,0,0,0,0,0,86535,0,0,0,0,683,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,0,0,0,0,0,0,0,"Streptococcus sp. F0442"
"Megasphaera micronuciformis",0,0,0,0,0,0,0,0,0,1316,0,0,0,0,2329,0,0,0,0,0,0,0,0,0,0,20053,0,0,7725,0,0,0,1596,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,2338,0,0,0,111778,0,0,15122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2836,117828,0,0,0,0,0,0,0,8008,0,0,0,0,0,1723,0,1582,0,0,0,13129,0,0,1059,5502456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Megasphaera micronuciformis"
"Veillonella tobetsuensis",0,0,0,0,0,0,0,0,0,535,0,0,0,0,0,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674,0,1719,0,677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53219,629,0,0,0,0,0,42130,0,0,0,0,0,0,0,0,2797,0,0,0,0,0,0,0,0,56487,0,0,0,0,0,0,0,4167,0,0,0,0,0,0,0,0,0,"Veillonella tobetsuensis"
"Prevotella sp. CAG:520",0,0,0,0,0,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,929269,7176,0,0,0,0,0,0,0,0,0,0,0,0,459512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1242528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4538297,0,0,0,0,1217753,0,0,269,3863112,0,0,"Prevotella sp. CAG:520"
"Bifidobacterium bifidum",0,0,0,0,0,0,0,0,0,0,133622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2989,0,0,2909871,0,0,0,348,0,0,0,0,54019,0,0,0,0,868196,0,0,0,0,0,0,0,0,0,0,0,0,0,1096676,0,0,0,712279,0,0,0,0,0,0,0,429878,0,0,1974,0,0,67667,0,0,0,0,188037,0,0,0,0,0,0,0,0,6500,189142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16712,0,0,0,0,0,0,0,0,0,0,0,"Bifidobacterium bifidum"
"Megamonas funiformis CAG:377",0,0,0,0,0,0,0,0,0,0,468,0,0,104454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Megamonas funiformis CAG:377"
"Bacteroides sp. OM08-11",0,0,0,0,0,0,0,0,0,0,0,16002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16904,0,0,0,0,1370,0,11670,25960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54777,82,0,3853,0,0,0,0,0,0,0,0,0,20125,4389,0,2111,0,"Bacteroides sp. OM08-11"
"Desulfovibrionaceae bacterium",0,0,0,0,0,0,0,0,0,0,0,14176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65045,0,0,0,0,0,0,0,0,0,0,0,4922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,51382,0,2649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Desulfovibrionaceae bacterium"
"Rothia dentocariosa",0,0,0,0,0,0,0,0,0,0,0,12807,0,0,0,0,0,0,0,0,821,0,0,0,0,0,0,0,31215,0,0,0,0,0,13439,0,0,0,1705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479,0,0,0,0,0,789,0,0,0,247,0,771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2826,0,0,"Rothia dentocariosa"
"Hafnia paralvei",0,0,0,0,0,0,0,0,0,0,0,8481,0,53853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Hafnia paralvei"
"Leuconostoc lactis",0,0,0,0,0,0,0,0,0,0,0,5550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Leuconostoc lactis"
"Klebsiella variicola CAG:634",0,0,0,0,0,0,0,0,0,0,0,2758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Klebsiella variicola CAG:634"
"Lactococcus petauri",0,0,0,0,0,0,0,0,0,0,0,2653,10129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73466,0,0,0,0,0,0,14150,0,0,0,0,0,0,0,0,0,0,0,423,4472,0,0,0,0,0,0,0,0,0,0,0,806,0,0,0,0,0,0,0,402,0,0,0,92338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lactococcus petauri"
"Lactococcus garvieae",0,0,0,0,0,0,0,0,0,0,0,1032,1262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25767,0,0,0,0,0,0,3987,0,0,0,0,0,0,0,0,0,0,0,865,2972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lactococcus garvieae"
"Streptococcus infantarius",0,0,0,0,0,0,0,0,0,0,0,0,80657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Streptococcus infantarius"
"Clostridium sp. CAG:253",0,0,0,0,0,0,0,0,0,0,0,0,9834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220516,0,0,0,0,0,0,0,0,0,0,0,3227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409411,0,276485,0,0,0,0,0,0,0,0,0,0,0,0,0,66938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Clostridium sp. CAG:253"
"Streptococcus lutetiensis",0,0,0,0,0,0,0,0,0,0,0,0,3641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Streptococcus lutetiensis"
"Citrobacter youngae",0,0,0,0,0,0,0,0,0,0,0,0,1334,670853,0,0,0,0,1261,0,0,0,0,0,0,0,0,0,1385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16265,0,0,0,0,0,0,24871,0,0,0,2559,0,0,0,0,0,0,0,0,0,0,0,0,0,67564,0,0,0,0,0,0,44675,0,0,0,0,0,0,0,18317,0,0,14080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23208,9664,0,0,0,0,0,0,"Citrobacter youngae"
"Weissella confusa",0,0,0,0,0,0,0,0,0,0,0,0,1135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3224,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1377,0,0,0,14925,0,0,0,0,17400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3473,0,0,0,0,"Weissella confusa"
"Alistipes inops",0,0,0,0,0,0,0,0,0,0,0,0,877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1277,0,0,0,0,1193571,0,0,0,0,0,0,0,1409518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,756361,0,0,0,0,505,0,0,0,0,0,0,11498,0,0,0,0,0,0,0,0,12617,"Alistipes inops"
"Bacteroides faecis CAG:32",0,0,0,0,0,0,0,0,0,0,0,0,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteroides faecis CAG:32"
"Citrobacter freundii",0,0,0,0,0,0,0,0,0,0,0,0,0,783693,0,0,0,0,7084,0,0,0,0,0,0,0,0,0,8823,0,0,2944,1292,0,4574,0,0,0,0,0,0,0,0,0,0,0,0,2524,0,0,0,0,0,0,4467,0,0,0,12041,0,0,0,0,0,0,0,0,0,0,0,0,0,236539,0,0,0,0,0,0,8968,0,0,0,0,0,0,0,55788,0,0,36912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2809,55847,0,0,0,0,0,0,"Citrobacter freundii"
